id,WinTeam,cwinrate1,cwinrate2,cwinrate3,cwinrate4,cwinrate5,ckda1,ckda2,ckda3,ckda4,ckda5,cdf1,cdf2,cdf3,cdf4,cdf5,cwinrate6,cwinrate7,cwinrate8,cwinrate9,cwinrate10,ckda6,ckda7,ckda8,ckda9,ckda10,cdf6,cdf7,cdf8,cdf9,cdf10,cwinratedif,ckdadif,cdfdif
1085441214,1,0.388888889,0.525641026,0.6,0.0,0.222222222,1.965753425,2.113138686,2.453125,0.4,1.360655738,136,672,61,-11,-17,0.8,0.555555556,1.0,1.0,0.531914894,0.776470588,2.442567568,1.45,1.739130435,1.252747253,-246,279,-1,11,-225,-0.430143662,0.126351401,204.6
1085441222,1,0.5,0.7,0.428571429,0.590909091,0.2,1.72517321,2.235576923,1.333333333,1.460629921,0.926470588,195,306,-16,-10,-39,0.6,0.333333333,0.454545455,0.527272727,0.576923077,2.948160535,1.322033898,1.345,1.187919463,1.409547739,866,-21,-62,-279,-36,-0.014518815,-0.106295532,-6.4
1085441228,0,0.576923077,0.586206897,0.517647059,0.393939394,0.427184466,3.513245033,1.448660714,1.151838671,1.211726384,1.284714747,608,-23,-587,-177,-400,0.538461538,0.542553191,0.5,0.558823529,0.684210526,2.006097561,0.790490342,0.855648536,0.826492537,1.950381679,83,-955,-308,-361,118,-0.064429579,0.436214979,168.8
1085441242,0,0.661971831,0.363636364,0.75,0.610526316,0.377777778,2.393617021,1.17765043,1.942307692,3.538944724,0.943181818,924,-225,23,1623,-441,0.421568627,0.538461538,0.333333333,0.538461538,0.538461538,1.580357143,1.36199095,1.041666667,1.217809365,1.53649635,126,-61,-55,-675,10,0.078725142,0.651476242,511.8
1085441251,1,0.56,0.326923077,0.222222222,0.347826087,0.333333333,1.839572193,1.112754159,1.772222222,1.070224719,0.764,127,-419,49,-153,-184,0.444444444,0.520408163,0.565217391,0.582278481,0.424242424,1.753968254,1.876460768,1.398148148,1.857246377,1.298308393,32,451,-44,493,-620,-0.149257237,-0.325071729,-178.4
1085441254,1,0.285714286,0.692307692,0.466666667,0.352941176,0.5,1.535087719,1.759358289,1.551724138,1.346283784,1.50617284,4,97,12,-91,1,0.857142857,0.555555556,0.6,0.56,1.0,4.425531915,2.11,2.414285714,1.777292576,0.952380952,275,61,64,127,-23,-0.255013718,-0.796172878,-96.2
1085441270,0,0.608108108,0.333333333,0.564202335,0.538461538,0.322580645,2.53192585,1.303217822,1.703862661,1.779411765,1.376785714,2004,-318,760,152,-69,0.387931034,0.5625,0.571428571,0.294117647,0.2,1.829089128,1.427184466,2.622171946,0.928756477,1.109677419,672,-45,992,-441,-121,0.070141741,0.155664875,294.4
1085441278,1,0.480519481,0.511164274,0.542857143,0.456666667,0.49,1.841114458,1.431330472,2.714285714,1.730554362,1.323109843,453,-1280,408,1073,-248,0.421686747,0.682170543,0.65,0.64137931,0.666666667,1.640602582,1.961439589,2.181818182,1.693469786,0.810344828,196,718,315,397,-40,-0.11613914,0.150543977,-236.0
1085441284,0,0.692307692,0.559454191,0.579545455,0.368421053,0.571428571,1.743320611,1.754128702,1.24796748,1.507317073,1.858490566,255,1785,-372,3,38,0.414285714,0.5,0.479289941,0.57,0.588235294,1.76312336,1.230994152,1.628440367,1.563945578,1.416058394,802,-92,336,94,-23,0.043869203,0.101732516,118.4
1085441301,0,0.529411765,0.508571429,0.601626016,0.525862069,0.285714286,3.096195484,1.754924242,2.018401682,1.429296592,0.790830946,10321,673,986,-195,-495,0.4,0.333333333,0.474576271,0.52,0.592592593,1.58203125,2.738095238,1.710076046,1.265254237,1.125,21,52,221,-277,-144,0.026136673,0.133838435,2283.4
1085441313,1,0.555555556,0.574257426,0.5,0.532467532,0.333333333,3.403846154,2.1384,1.5,3.218543046,0.795454545,198,798,0,1038,-31,0.464285714,0.545454545,0.333333333,0.545454545,0.571428571,1.783195021,1.026645768,1.0,1.392857143,1.2375,273,-302,-32,-36,-21,0.007131427,0.923209163,424.2
1085441321,1,0.625,0.542168675,0.714285714,0.571428571,0.52,2.074534161,2.421994885,2.006060606,3.081395349,1.449468085,185,1442,167,136,-19,0.8,0.652542373,0.5,0.709677419,0.833333333,4.092592593,2.485391766,0.441176471,2.448113208,1.428571429,140,1484,-72,402,-7,-0.104534033,0.027521524,-7.2
1085441330,0,0.46,0.666666667,0.35,0.5,0.533333333,1.442344961,1.234375,1.779411765,1.601398601,1.287414966,-119,-17,76,29,-125,0.583333333,0.565217391,0.525423729,0.333333333,0.756097561,1.827380952,2.118210863,1.906893004,0.966101695,2.405864198,55,387,791,-63,587,-0.05068107,-0.375901084,-382.6
1085441331,1,0.561643836,0.475,0.468208092,0.419354839,0.647727273,1.494791667,1.939799331,1.766092475,1.420155039,3.045454545,-6,263,587,-103,1836,0.535,0.6,0.466666667,1.0,0.6,1.024928367,2.179487179,1.275590551,1.172413793,1.058823529,-1658,53,-57,-19,-30,-0.125946525,0.591009927,857.6
1085441342,0,0.357142857,0.590909091,0.630350195,0.595022624,0.488888889,2.095238095,1.765748411,2.78901154,1.736238532,1.004756871,125,2759,5138,1545,-937,0.610062893,0.544117647,0.633333333,0.533094812,0.595744681,3.187311178,2.269076305,1.875,2.110906658,1.969626168,3351,766,390,3652,402,-0.050807942,-0.404185372,13.8
1085441355,0,0.696969697,0.857142857,0.666666667,0.2,0.25,2.106951872,2.935483871,1.709677419,1.447368421,1.846153846,227,267,13,-6,18,0.443037975,0.602272727,0.45,0.4,0.25,1.679710145,1.835841313,0.935064935,1.565789474,0.515151515,496,491,-174,5,-65,0.105093704,0.702815609,-46.8
1085441356,1,0.533333333,0.566037736,0.25,0.451612903,0.543478261,1.556325823,2.755972696,1.708333333,1.603351955,1.95,65,736,10,37,558,0.666666667,0.714285714,0.53125,0.400749064,0.52,1.565737052,1.061904762,2.027675277,1.447731317,1.487012987,33,-92,286,-235,-4,-0.097697842,0.396784483,283.6
